2025-08-14 16:01:17,879 - {'ts': '2025-08-14 14:01:00+0000', 'symbol': '1000CAT/USDT', 'price': 0.00877, 'score': 10, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.00869823, 'tp': 0.00888484}
2025-08-14 16:02:34,116 - {'ts': '2025-08-14 14:02:00+0000', 'symbol': '1000CHEEMS/USDT', 'price': 0.001324, 'score': 70, 'weight': 0.25, 'entry': False, 'exit': False, 'sl': 0.00131278, 'tp': 0.00134195}
2025-08-14 16:03:49,251 - {'ts': '2025-08-14 14:03:00+0000', 'symbol': '1000SATS/USDT', 'price': 4.017e-05, 'score': 10, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 3.99e-05, 'tp': 4.061e-05}
2025-08-14 16:05:06,384 - {'ts': '2025-08-14 14:05:00+0000', 'symbol': '1INCH/USDT', 'price': 0.2569, 'score': 10, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.25561588, 'tp': 0.25895459}
2025-08-14 16:06:23,919 - {'ts': '2025-08-14 14:06:00+0000', 'symbol': '1MBABYDOGE/USDT', 'price': 0.0013387, 'score': 10, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.00132928, 'tp': 0.00135377}
2025-08-14 16:07:21,865 - {'ts': '2025-08-14 14:07:00+0000', 'symbol': 'A/USDT', 'price': 0.5252, 'score': 10, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.5224556, 'tp': 0.52959104}
2025-08-14 16:07:31,441 - {'ts': '2025-08-14 14:07:00+0000', 'symbol': 'A2Z/USDT', 'price': 0.006774, 'score': 10, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.00671908, 'tp': 0.00686187}
2025-08-14 16:09:14,465 - {'ts': '2025-08-14 14:09:00+0000', 'symbol': 'AAVE/USDT', 'price': 316.3, 'score': 40, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 314.28140234, 'tp': 319.52975625}
2025-08-14 16:10:36,422 - {'ts': '2025-08-14 14:10:00+0000', 'symbol': 'ACA/USDT', 'price': 0.0288, 'score': 50, 'weight': 0.25, 'entry': False, 'exit': False, 'sl': 0.02852946, 'tp': 0.02923287}
2025-08-14 16:12:24,652 - {'ts': '2025-08-14 14:12:00+0000', 'symbol': 'ACE/USDT', 'price': 0.552, 'score': 50, 'weight': 0.25, 'entry': False, 'exit': False, 'sl': 0.54960965, 'tp': 0.55582456}
2025-08-14 16:13:40,675 - {'ts': '2025-08-14 14:13:00+0000', 'symbol': 'ACH/USDT', 'price': 0.0218, 'score': 20, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.02168394, 'tp': 0.0219857}
2025-08-14 16:14:57,578 - {'ts': '2025-08-14 14:14:00+0000', 'symbol': 'ACM/USDT', 'price': 1.088, 'score': 20, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 1.07445927, 'tp': 1.10966517}
2025-08-14 16:16:16,967 - {'ts': '2025-08-14 14:16:00+0000', 'symbol': 'ACT/USDT', 'price': 0.0407, 'score': 10, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.04044239, 'tp': 0.04111217}
2025-08-14 16:17:33,271 - {'ts': '2025-08-14 14:17:00+0000', 'symbol': 'ACX/USDT', 'price': 0.1832, 'score': 40, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.18205635, 'tp': 0.18502984}
2025-08-14 16:18:55,965 - {'ts': '2025-08-14 14:18:00+0000', 'symbol': 'ADA/USDT', 'price': 0.9354, 'score': 60, 'weight': 0.25, 'entry': False, 'exit': False, 'sl': 0.92729911, 'tp': 0.94836142}
