open_time,side,entry,sl,tp,exit_time,R,equity,win
2025-08-09 16:40:00,SHORT,116656.6,116783.37098517461,116403.05802965081,2025-08-09 20:44:59.999,-1.0,0.0,False
2025-08-09 21:10:00,LONG,116746.9,116628.53974686177,116983.62050627643,2025-08-09 21:19:59.999,-1.0,0.0,False
2025-08-09 21:25:00,SHORT,116500.3,116625.73898547547,116249.42202904908,2025-08-09 22:24:59.999,-1.0,0.0,False
2025-08-09 23:10:00,SHORT,116470.4,116586.52889170124,116238.14221659751,2025-08-10 00:44:59.999,-1.0,0.0,False
2025-08-10 00:55:00,LONG,116702.5,116620.05501672727,116867.38996654547,2025-08-10 01:09:59.999,-1.0,0.0,False
2025-08-10 02:20:00,LONG,116669.9,116588.6939367498,116832.31212650037,2025-08-10 02:34:59.999,2.0,0.0,True
2025-08-10 02:35:00,LONG,116898.7,116798.5800215158,117098.93995696842,2025-08-10 02:49:59.999,2.0,0.0,True
2025-08-10 02:50:00,LONG,117111.9,116984.577335011,117366.54532997799,2025-08-10 03:04:59.999,2.0,0.0,True
2025-08-10 03:05:00,LONG,117418.2,117276.48670007987,117701.62659984025,2025-08-10 03:14:59.999,2.0,0.0,True
2025-08-10 03:15:00,LONG,117875.2,117685.96914445663,118253.66171108675,2025-08-10 03:29:59.999,2.0,0.0,True
2025-08-10 03:30:00,LONG,118339.4,118068.8063813306,118880.58723733877,2025-08-10 05:19:59.999,-1.0,0.0,False
2025-08-10 07:05:00,LONG,118188.4,117972.65300504319,118619.89398991362,2025-08-10 07:34:59.999,-1.0,0.0,False
2025-08-10 08:05:00,SHORT,117580.3,117835.59488320231,117069.71023359538,2025-08-10 08:14:59.999,-1.0,0.0,False
2025-08-10 08:20:00,LONG,118079.1,117811.14790145938,118615.00419708125,2025-08-10 12:24:59.999,2.0,0.0,True
2025-08-10 12:25:00,LONG,118610.7,118409.39533461657,119013.30933076686,2025-08-10 13:19:59.999,-1.0,0.0,False
2025-08-10 13:30:00,LONG,118528.7,118341.37702912948,118903.34594174105,2025-08-10 13:39:59.999,-1.0,0.0,False
2025-08-10 13:55:00,LONG,118649.5,118458.25476917461,119031.99046165077,2025-08-10 14:04:59.999,-1.0,0.0,False
2025-08-10 14:25:00,LONG,118739.4,118526.36002677919,119165.47994644158,2025-08-10 15:39:59.999,-1.0,0.0,False
2025-08-10 16:05:00,LONG,118849.4,118628.83884569327,119290.52230861344,2025-08-10 16:44:59.999,-1.0,0.0,False
2025-08-10 17:45:00,SHORT,118493.3,118651.5759999285,118176.74800014302,2025-08-10 19:19:59.999,-1.0,0.0,False
2025-08-10 19:50:00,LONG,118672.7,118556.41997100553,118905.26005798894,2025-08-10 20:14:59.999,-1.0,0.0,False
2025-08-10 20:15:00,SHORT,118261.1,118405.14492083924,117973.01015832153,2025-08-10 20:39:59.999,-1.0,0.0,False
2025-08-10 21:00:00,SHORT,118277.1,118505.08273380651,117821.13453238698,2025-08-10 21:54:59.999,-1.0,0.0,False
2025-08-10 22:15:00,LONG,118825.1,118577.7479277568,119319.8041444864,2025-08-11 00:24:59.999,2.0,0.0,True
2025-08-11 00:25:00,LONG,119366.3,119162.56437371277,119773.77125257449,2025-08-11 00:39:59.999,-1.0,0.0,False
2025-08-11 00:40:00,LONG,119205.0,118982.36693842818,119650.26612314364,2025-08-11 01:19:59.999,-1.0,0.0,False
2025-08-11 01:35:00,LONG,119743.6,119467.97677082598,120294.84645834808,2025-08-11 02:04:59.999,2.0,0.0,True
2025-08-11 02:05:00,LONG,120673.5,120299.16971382615,121422.1605723477,2025-08-11 02:24:59.999,2.0,0.0,True
2025-08-11 02:25:00,LONG,121587.2,121115.54778338684,122530.50443322632,2025-08-11 09:39:59.999,-1.0,0.0,False
2025-08-11 09:40:00,SHORT,121205.2,121412.62050184965,120790.35899630068,2025-08-11 09:49:59.999,-1.0,0.0,False
2025-08-11 09:50:00,SHORT,121445.3,121666.72431026833,121002.45137946335,2025-08-11 10:49:59.999,2.0,0.0,True
2025-08-11 10:50:00,SHORT,121052.5,121266.01129916118,120625.47740167764,2025-08-11 11:04:59.999,-1.0,0.0,False
2025-08-11 11:05:00,SHORT,120915.3,121170.21531496251,120405.46937007499,2025-08-11 11:34:59.999,2.0,0.0,True
2025-08-11 11:35:00,SHORT,120689.7,120986.33833017052,120096.42333965894,2025-08-11 12:14:59.999,2.0,0.0,True
2025-08-11 12:15:00,SHORT,120170.2,120502.96897051572,119504.66205896856,2025-08-11 12:59:59.999,2.0,0.0,True
2025-08-11 13:00:00,SHORT,119632.8,120001.8022917934,118894.79541641321,2025-08-11 13:44:59.999,-1.0,0.0,False
2025-08-11 13:55:00,SHORT,119834.4,120236.81107050346,119029.57785899306,2025-08-11 14:34:59.999,-1.0,0.0,False
2025-08-11 16:15:00,LONG,120663.5,120323.08412732204,121344.33174535591,2025-08-11 16:39:59.999,-1.0,0.0,False
2025-08-11 16:55:00,SHORT,120012.5,120344.91695790028,119347.66608419946,2025-08-11 18:04:59.999,2.0,0.0,True
2025-08-11 18:05:00,SHORT,119221.3,119518.22837576312,118627.44324847375,2025-08-11 18:14:59.999,-1.0,0.0,False
2025-08-11 18:15:00,SHORT,119457.2,119757.23543624474,118857.12912751053,2025-08-11 18:39:59.999,-1.0,0.0,False
2025-08-11 18:45:00,SHORT,119509.6,119808.46748157324,118911.86503685353,2025-08-11 19:54:59.999,2.0,0.0,True
2025-08-11 19:55:00,SHORT,118725.8,119006.34213084014,118164.71573831973,2025-08-11 20:04:59.999,-1.0,0.0,False
2025-08-11 20:05:00,SHORT,118799.9,119129.58734751011,118140.52530497976,2025-08-11 21:19:59.999,-1.0,0.0,False
2025-08-11 21:35:00,SHORT,118567.9,118825.33298483862,118053.03403032274,2025-08-11 21:54:59.999,2.0,0.0,True
2025-08-11 21:55:00,SHORT,118424.1,118734.00329758372,117804.29340483257,2025-08-11 22:49:59.999,-1.0,0.0,False
2025-08-12 00:10:00,SHORT,118555.7,118759.73675686709,118147.62648626581,2025-08-12 00:19:59.999,-1.0,0.0,False
